ID	ADMINISTRATIVE_NAME	LANG_CODE_ON	ALTERNATE_NAME	LANG_CODE_AN	ADMINISTRATIVE_NUMBER	ADMINISTRATIVE_BOUNDARY_TYPE	DISTRICT_OFFICIAL_NAME	AREA	PERIMETER	POPULATION
1119640	KLEBANG BESAR	MAY	NULL	NULL	75	28	MELAKA TENGAH	3.644900	10.399830	6722
1119641	SUNGAI PETAI	MAY	NULL	NULL	78	28	ALOR GAJAH	18.130200	24.974232	2946
1119642	AMPANG TINGGI	MAY	NULL	NULL	71	28	KUALA PILAH	30.289200	29.790249	9138
1119643	PARIT TINGGI	MAY	NULL	NULL	72	28	KUALA PILAH	34.911800	30.301795	267
1119644	GADONG	MAY	NULL	NULL	71	28	REMBAU	43.034300	30.781954	3964
1119645	KELEMAK	MAY	NULL	NULL	78	28	ALOR GAJAH	19.278200	26.302411	15382
1119646	REMBIA	MAY	NULL	NULL	78	28	ALOR GAJAH	16.675200	24.623380	3725
1119647	PEGOH	MAY	NULL	NULL	78	28	ALOR GAJAH	19.904700	24.706867	2041
1119648	TABOH NANING	MAY	NULL	NULL	78	28	ALOR GAJAH	31.172500	25.652104	4565
1119649	CHENG	MAY	NULL	NULL	75	28	MELAKA TENGAH	9.029600	13.848693	11299
1119650	PAYA RUMPUT	MAY	NULL	NULL	76	28	MELAKA TENGAH	14.105600	16.830732	2825
1119651	TANJONG MINYAK	MAY	NULL	NULL	75	28	MELAKA TENGAH	20.951400	23.131427	8304
1119652	TANJONG KELING	MAY	NULL	NULL	75	28	MELAKA TENGAH	7.273000	11.336863	1523
1119653	MIKU	MAY	NULL	NULL	71	28	REMBAU	15.045000	19.308519	153
1119654	LENDU	MAY	NULL	NULL	78	28	ALOR GAJAH	27.230400	28.308723	2847
1119655	SUNGAI BULOH	MAY	NULL	NULL	78	28	ALOR GAJAH	8.259700	15.940312	673
1119656	MELEKEK	MAY	NULL	NULL	78	28	ALOR GAJAH	8.997900	17.363866	1928
1119657	KLEBANG KECIL	MAY	NULL	NULL	75	28	MELAKA TENGAH	2.747200	7.104117	6364
1119658	TANJONG RIMAU	MAY	NULL	NULL	78	28	ALOR GAJAH	5.425100	12.180891	625
1119659	BERINGIN	MAY	NULL	NULL	78	28	ALOR GAJAH	4.051000	12.180689	1246
1119660	BALAI PANJANG	MAY	NULL	NULL	75	28	MELAKA TENGAH	5.541000	10.439759	15262
1119661	BACHANG	MAY	NULL	NULL	75	28	MELAKA TENGAH	6.568000	11.797525	18062
1119662	BERTAM	MAY	NULL	NULL	75	28	MELAKA TENGAH	5.132800	9.485783	3237
1119663	KRUBONG	MAY	NULL	NULL	75	28	MELAKA TENGAH	14.847000	21.586891	7201
1119664	PANYIT	MAY	NULL	NULL	18	28	MACHANG	42.658500	30.099835	10330
1119665	KUBANG SEPAT	MAY	NULL	NULL	17	28	PASIR MAS	21.394200	19.135096	14484
1119666	KEBAKAT	MAY	NULL	NULL	16	28	TUMPAT	14.749500	16.956575	14663
1119667	WAKAF BHARU	MAY	NULL	NULL	16	28	TUMPAT	25.783400	24.101408	29902
1119668	PENDEK	MAY	NULL	NULL	16	28	KOTA BHARU	21.651700	23.157134	15570
1119669	BETA	MAY	NULL	NULL	16	28	KOTA BHARU	22.775900	22.508070	9305
1119670	BANDAR KOTA BHARU	MAY	NULL	NULL	15	28	KOTA BHARU	9.961800	15.379616	47790
1119671	TEBONG	MAY	NULL	NULL	73	28	TAMPIN	41.329900	29.156879	832
1119672	TEBONG	MAY	NULL	NULL	77	28	ALOR GAJAH	34.827800	25.670847	832
